added,title,year,rating5,rating10,imdb_url
"2015-04-01","The Jinx: The Life and Deaths of Robert Durst","2015","1","3","http://www.imdb.com/title/tt4299972/"
"2015-03-29","The Reunion","2013","5","10","http://www.imdb.com/title/tt2402091/"
"2015-03-29","A Dangerous Method","2011","2","4","http://www.imdb.com/title/tt1571222/"
"2015-03-23","Inglourious Basterds","2009","3","7","http://www.imdb.com/title/tt0361748/"
"2015-03-22","The Imitation Game","2014","3","6","http://www.imdb.com/title/tt2084970/"
"2015-03-22","Big Hero 6","2014","4","7","http://www.imdb.com/title/tt2245084/"
"2015-03-20","The Illusionist","2006","3","7","http://www.imdb.com/title/tt0443543/"
"2015-03-08","Dawn of the Planet of the Apes","2014","4","8","http://www.imdb.com/title/tt2103281/"
"2015-03-08","The Life Aquatic with Steve Zissou","2004","3","7","http://www.imdb.com/title/tt0362270/"
"2015-03-06","John Wick","2014","4","8","http://www.imdb.com/title/tt2911666/"
"2015-02-28","Nightcrawler","2014","5","9","http://www.imdb.com/title/tt2872718/"
"2015-02-24","Atlas Shrugged: Who Is John Galt?","2014","3","7","http://www.imdb.com/title/tt2800038/"
"2015-02-23","Fury","2014","5","9","http://www.imdb.com/title/tt2713180/"
"2015-02-22","Force Majeure","2014","3","7","http://www.imdb.com/title/tt2121382/"
"2015-02-18","Once","2007","3","6","http://www.imdb.com/title/tt0907657/"
"2015-02-13","This Is the End","2013","1","1","http://www.imdb.com/title/tt1245492/"
"2015-02-08","Morran och Tobias","2014","4","8","http://www.imdb.com/title/tt4182272/"
"2015-02-08","The A-Team","2010","1","3","http://www.imdb.com/title/tt0429493/"
"2015-02-06","300","2006","4","7","http://www.imdb.com/title/tt0416449/"
"2015-02-06","300: Rise of an Empire","2014","2","3","http://www.imdb.com/title/tt1253863/"
"2015-02-05","American Hustle","2013","3","5","http://www.imdb.com/title/tt1800241/"
"2015-02-05","The Spectacular Now","2013","2","4","http://www.imdb.com/title/tt1714206/"
"2015-02-04","Begin Again","2013","4","8","http://www.imdb.com/title/tt1980929/"
"2015-02-03","If I Stay","2014","2","4","http://www.imdb.com/title/tt1355630/"
"2015-02-02","Citizenfour","2014","3","10","http://www.imdb.com/title/tt4044364/"
"2015-01-31","Chef","2014","5","9","http://www.imdb.com/title/tt2883512/"
"2015-01-25","Pulp Fiction","1994","2","4","http://www.imdb.com/title/tt0110912/"
"2015-01-14","Dumb and Dumber To","2014","3","6","http://www.imdb.com/title/tt2096672/"
